Name,Team,Goals ,Points,Total,Frees,50s,Mark_Score,Yellows,Reds,Black,Game
Alan Doherty ,St. Marys,0,1,1,1,,,,,1,2
Ray Mulvey ,St. Marys,0,2,2,,,,,,,2
Paul Keaney,St. Marys,0,2,2,2,,,,,,2
Oisin Bohan,St. Marys,0,1,1,1,,,,,,2
David O Connel,St. Marys,,1,1,,,,,,,2
Keith Beirne ,Mohil,,8,8,1,1,,,,,2
Jordan Reynolds,Mohil,,3,3,,,,,,,2
Keith Keegan ,Mohil,1,2,5,,,,,,,2
Shane Quinn,Mohil,,1,1,,,,,,,2
Eamma Madden,Mohil,,2,2,,,,,,,2
Evan Harkin,Mohil ,1,0,3,,,,,,,2
Tom Prior ,Ballinamore,,3,3,,,,,,,2
Shane Moran ,Ballinamore,,2,2,2,,,,,,2
Nial Mc Govern,Ballinamore,,2,2,2,,,,,,2
Barry McGovern,Ballinamore,,1,1,,,,,,,2
Cathal Mc Hugh ,Ballinamore,,1,1,,,,,,,2
Andrew Burns,Ballinamore,,1,1,,,,,,,2
Gary Plunket,Aughawillian,,4,4,,,,,,,2
Morgan Quinn,Aughawillian,,2,2,,,,,,,2
Pearce Dolan,Aughawillian,,1,1,,,,,,,2
Aaron Hickey,Manorhamilton,,4,4,1,,,,,,2
James Glancy ,Manorhamilton,,3,3,,,,,,,2
Nial Brady,Manorhamilton,,2,2,,,,,,,2
Evan Sweeney,Manorhamilton,,2,2,,,,,,,2
Adrian Croal,Manorhamilton,,1,1,,,,,,,2
Peter Poniard,Manorhamilton,,1,1,,,,,,,2
Killian McGriskin,Manorhamilton,,1,1,,,,,,,2
Raymond Fee,Drumreilly,,3,3,2,,,,,,2
Peter Prior,Drumreilly,1,0,3,,,,,,,2
Conor Gaffney,Drumreilly,,2,2,2,,,,,,2
Stephen Meissner ,Drumreilly,,2,2,,,,,,,2
James Holohan,Drumreilly,,1,1,,,,,,,
